año,genres,playtime_forever
1983,Action,3582.0
1983,Adventure,3582.0
1983,Casual,3582.0
1984,Action,384.0
1984,Adventure,384.0
1984,Casual,384.0
1987,Adventure,7716.0
1987,Simulation,235.0
1988,Action,16243.0
1988,Adventure,30241.0
1988,Indie,13998.0
1988,RPG,13998.0
1988,Simulation,1.0
1988,Strategy,13998.0
1989,Action,607.0
1989,Adventure,9324.0
1989,Simulation,5084.0
1990,Action,18787.0
1990,Adventure,5538.0
1990,Simulation,1926.0
1990,Strategy,60.0
1991,Action,2502.0
1991,Adventure,1722.0
1991,Casual,1355.0
1991,RPG,0.0
1991,Simulation,144.0
1991,Strategy,0.0
1992,Action,1925.0
1992,Adventure,23898.0
1992,Casual,2524.0
1992,RPG,2164.0
1992,Simulation,11.0
1993,Action,24663.0
1993,Adventure,46811.0
1993,Casual,22039.0
1993,Simulation,65.0
1993,Strategy,187144.0
1994,Action,121057.0
1994,Adventure,15890.0
1994,Casual,45975.0
1994,RPG,2092.0
1994,Racing,289.0
1994,Simulation,9390.0
1994,Strategy,1169.0
1995,Action,217813.0
1995,Adventure,10026.0
1995,Casual,3562.0
1995,Indie,3177.0
1995,Racing,31220.0
1995,Simulation,980.0
1995,Sports,31220.0
1995,Strategy,55249.0
1996,Action,70061.0
1996,Adventure,106050.0
1996,Casual,30711.0
1996,Free to Play,127.0
1996,Indie,570.0
1996,RPG,25505.0
1996,Racing,1202.0
1996,Simulation,1918.0
1996,Strategy,8569.0
1997,Action,363033.0
1997,Adventure,329299.0
1997,Casual,32535.0
1997,Indie,64814.0
1997,RPG,366756.0
1997,Racing,9319.0
1997,Simulation,4980.0
1997,Strategy,134989.0
1998,Action,2935053.0
1998,Adventure,181142.0
1998,Casual,13082.0
1998,Indie,19958.0
1998,RPG,382964.0
1998,Racing,15131.0
1998,Simulation,110263.0
1998,Strategy,26164.0
1999,Action,2735338.0
1999,Adventure,7830.0
1999,Casual,641897.0
1999,Free to Play,635875.0
1999,Indie,635875.0
1999,RPG,332845.0
1999,Racing,32.0
1999,Simulation,130537.0
1999,Strategy,584384.0
2000,Action,18643971.0
2000,Adventure,105666.0
2000,Casual,53135.0
2000,Indie,5304.0
