title,year,sentiment_analysis,recommend
Counter-Strike,2011.0,2,1
Counter-Strike,2012.0,4,3
Counter-Strike,2013.0,9,8
Counter-Strike,2014.0,37,23
Counter-Strike,2015.0,32,18
Team Fortress Classic,2012.0,1,1
Team Fortress Classic,2014.0,7,4
Team Fortress Classic,2015.0,9,6
Day of Defeat,2013.0,2,1
Day of Defeat,2014.0,2,1
Day of Defeat,2015.0,2,1
Deathmatch Classic,2014.0,2,1
Half-Life: Opposing Force,2013.0,2,1
Half-Life: Opposing Force,2014.0,2,1
Half-Life: Opposing Force,2015.0,2,1
Ricochet,2013.0,2,1
Ricochet,2014.0,6,3
Ricochet,2015.0,5,3
Half-Life,2011.0,2,1
Half-Life,2012.0,5,3
Half-Life,2013.0,16,8
Half-Life,2014.0,41,23
Half-Life,2015.0,28,15
Counter-Strike: Condition Zero,2011.0,1,1
Counter-Strike: Condition Zero,2013.0,2,1
Counter-Strike: Condition Zero,2014.0,1,1
Counter-Strike: Condition Zero,2015.0,7,4
Half-Life: Blue Shift,2015.0,7,4
Half-Life 2,2011.0,9,5
Half-Life 2,2012.0,20,11
Half-Life 2,2013.0,66,38
Half-Life 2,2014.0,139,80
Half-Life 2,2015.0,74,46
Counter-Strike: Source,2010.0,4,2
Counter-Strike: Source,2011.0,13,7
Counter-Strike: Source,2012.0,25,15
Counter-Strike: Source,2013.0,65,38
Counter-Strike: Source,2014.0,164,94
Counter-Strike: Source,2015.0,88,51
Half-Life: Source,2013.0,4,2
Half-Life: Source,2014.0,5,3
Half-Life: Source,2015.0,2,1
Day of Defeat: Source,2010.0,2,1
Day of Defeat: Source,2011.0,3,2
Day of Defeat: Source,2012.0,10,6
Day of Defeat: Source,2013.0,8,5
Day of Defeat: Source,2014.0,14,7
Day of Defeat: Source,2015.0,12,7
Half-Life 2: Deathmatch,2011.0,6,3
Half-Life 2: Deathmatch,2013.0,10,5
Half-Life 2: Deathmatch,2014.0,2,1
Half-Life 2: Deathmatch,2015.0,1,1
Half-Life 2: Lost Coast,2013.0,5,3
Half-Life 2: Lost Coast,2014.0,6,4
Half-Life Deathmatch: Source,2013.0,2,1
Half-Life 2: Episode One,2011.0,2,1
Half-Life 2: Episode One,2012.0,2,1
