recommend,year,sentiment_analysis,title
0,2014,0,Killing Floor
0,2014,0,Killing Floor
0,2014,0,Killing Floor
0,2015,0,Killing Floor
0,2015,0,Euro Truck Simulator 2
0,2015,0,Euro Truck Simulator 2
0,2015,0,Gnomoria
0,2014,0,The Witcher 2: Assassins of Kings Enhanced Edition
0,2014,0,Max Payne 3
0,2014,0,Defiance
0,2015,0,Defiance
0,2014,0,Defiance
0,2014,0,Defiance
0,2015,0,The Walking Dead
0,2014,0,DARK SOULS™: Prepare To Die™ Edition
0,2015,0,DARK SOULS™: Prepare To Die™ Edition
0,2015,0,DARK SOULS™: Prepare To Die™ Edition
0,2014,0,DARK SOULS™: Prepare To Die™ Edition
0,2014,0,DARK SOULS™: Prepare To Die™ Edition
0,2014,0,DARK SOULS™: Prepare To Die™ Edition
0,2015,0,DARK SOULS™: Prepare To Die™ Edition
0,2015,0,DARK SOULS™: Prepare To Die™ Edition
0,2014,0,DARK SOULS™: Prepare To Die™ Edition
0,2014,0,DARK SOULS™: Prepare To Die™ Edition
0,2014,0,DARK SOULS™: Prepare To Die™ Edition
0,2014,0,Starbound
0,2015,0,Starbound
0,2014,0,Starbound
0,2015,0,Starbound
0,2015,0,Starbound
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2011,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2013,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
0,2015,0,Counter-Strike: Global Offensive
0,2014,0,Counter-Strike: Global Offensive
