title,id,genres
! That Bastard Is Trying To Steal Our Gold !,449940,Action Adventure Casual Indie
"""Barely Attuned Magic Thingy"" Staff",308163,Action Free to Play Indie Massively Multiplayer RPG
"""Glow Ball"" - The billiard puzzle game",388390,Casual Indie Sports Strategy
"""Just Another Day"" - Seduce Me Otome CD",454790,Casual Simulation
"""Lethargic Sentience"" Wand",308164,Action Free to Play Indie Massively Multiplayer RPG
"""Precisely Calibrated Stringstick"" Bow",308162,Action Free to Play Indie Massively Multiplayer RPG
"""TWO DRAW""",720840,Casual Indie Strategy
"""The Guard Of Dungeon"" - wallpaper 1920x1080",754550,Action Indie
"""Toy Knife"" Dagger",308160,Action Free to Play Indie Massively Multiplayer RPG
"""Unstable Anomaly"" Sword",308161,Action Free to Play Indie Massively Multiplayer RPG
#monstercakes,614910,Casual Indie
#monstercakes OST,635780,Casual Indie
$1 Ride,508290,Action Casual Indie
&gt;//:System.Hack,557330,Indie RPG Simulation Early Access
&gt;observer_,514900,Adventure Indie
'n Verlore Verstand Soundtrack,463190,Adventure Casual Indie
(Romance) In The Digital Age,718900,nan
- Arcane RERaise -,603770,Adventure Casual Indie RPG Strategy
- Arcane Raise -,603750,Adventure Casual Indie RPG Strategy
- Arcane preRaise -,603780,Adventure Casual Indie RPG Strategy
- Occult RERaise -,698310,Adventure Casual Indie RPG Strategy
- Occult Raise -,670480,Adventure Casual Indie RPG Strategy
- Occult preRaise -,741270,Adventure Casual Indie RPG Strategy
.EXE,471640,Action Adventure Indie
.EXE - OST,489990,Action Adventure Indie
.hack//G.U. Last Recode,525480,RPG
//N.P.P.D. RUSH//- The milk of Ultraviolet,270090,Action Indie
//SNOWFLAKE TATTOO//,355430,Action Adventure Indie RPG
0-4-0 Saddletank Pack 1 Add-on Loco,275805,Simulation
0-4-0 Saddletank Pack 2 Add-on Loco,275806,Simulation
001 Game Creator,347400,Animation &amp; Modeling Design &amp; Illustration Education Software Training Utilities Video Production Web Publishing
001 Game Creator - 3D FPS / Survival Horror Kit,564681,Animation &amp; Modeling Design &amp; Illustration Education Software Training Utilities Video Production Web Publishing
001 Game Creator - General Music Add-On,736530,Animation &amp; Modeling Design &amp; Illustration Education Software Training Utilities Video Production Web Publishing
001 Game Creator - MMORPG Kit,564680,Animation &amp; Modeling Design &amp; Illustration Education Software Training Utilities Video Production Web Publishing
001 Game Creator - Point &amp; Click Adventure Kit,567360,Animation &amp; Modeling Design &amp; Illustration Education Software Training Utilities Video Production Web Publishing
0RBITALIS,278440,Indie Simulation
0RBITALIS - Supernova Edition Upgrade,375860,Indie Simulation
1 Blue Orb,359492,Action
1 Moment Of Time: Silentville,497400,Adventure Indie
"1,000 Heads Among the Trees",406730,Indie
10 Minute Barbarian,389120,Casual Indie Strategy
10 Minute Tower,477010,Indie
10 Second Ninja,271670,Action Indie
10 Second Ninja X,435790,Action Indie
10 Years After,339240,Action Adventure Indie Early Access
"10,000,000",227580,Action Casual Indie RPG
100% Orange Juice,282800,Indie Strategy
100% Orange Juice - Acceleration Pack,537330,Indie Strategy
100% Orange Juice - Alte &amp; Kyoko Character Pack,388790,Indie Strategy
100% Orange Juice - Breaker Pack,465480,Indie Strategy
100% Orange Juice - Core Voice Pack 1,734740,Indie Strategy
100% Orange Juice - Kiriko &amp; NoName Pack,619510,Indie Strategy
100% Orange Juice - Krila &amp; Kae Character Pack,376200,Indie Strategy
100% Orange Juice - Mixed Booster Pack,338360,Indie Strategy
100% Orange Juice - Nath &amp; Tomato+Mimyuu Character Pack,573180,Indie Strategy
100% Orange Juice - Saki &amp; Kyousuke Character Pack,334080,Indie Strategy
100% Orange Juice - Sham &amp; Sherry Character Pack,425360,Indie Strategy
100% Orange Juice - Starter Character Voice Pack,648980,Indie Strategy
100% Orange Juice - Suguri &amp; Hime Winter Costumes,583640,Indie Strategy
100% Orange Juice - Syura &amp; Nanako Character Pack,327340,Indie Strategy
100% Orange Juice - Witch Pack,704180,Indie Strategy
100% Orange Juice - Yuki &amp; Tomomo Renewal Pack,775410,Indie Strategy
1000 Amps,205690,Adventure Indie
1001 Spikes,260790,Action Adventure Indie
100ft Robot Golf,368000,Action Indie Sports
100nya,553830,Indie Strategy
101 Secrets,419580,nan
101 Ways to Die,413480,Action Casual Indie Strategy
1010,761190,Indie Simulation Strategy
12 Labours of Hercules,342580,Casual Strategy
12 Labours of Hercules II: The Cretan Bull,360640,Casual Strategy
12 Labours of Hercules III: Girl Power,360650,Casual Strategy
12 Labours of Hercules IV: Mother Nature (Platinum Edition),396800,Casual Indie Strategy
12 Labours of Hercules V: Kids of Hellas (Platinum Edition),491330,Casual Indie Strategy
12 Labours of Hercules VI: Race for Olympus,567800,Casual Indie Strategy
12 O'Clock Boys,443770,nan
12 Rounds 3 Lockdown,421210,nan
12 is Better Than 6,410110,Action Indie
12 is Better Than 6 Art Book,450830,Action Indie
12 orbits,529950,Action Casual Indie Sports
140,242820,Action Indie
140 Soundtrack,662290,Action Indie
15 Days,342990,Adventure Casual Indie
15 Defense,599090,Casual Indie
16bit Trader,375460,Adventure Casual Indie RPG Simulation Strategy
1775: Rebellion,422610,Strategy
1775: Rebellion - Southern Theatre Scenario,587740,Strategy
18 Wheels of Steel: Across America,514160,Simulation
18 Wheels of Steel: American Long Haul,12520,Racing
18 Wheels of Steel: Convoy,514170,Simulation
18 Wheels of Steel: Extreme Trucker,33730,Simulation
18 Wheels of Steel: Extreme Trucker 2,362780,Simulation
18 Wheels of Steel: Haulin’,514180,Simulation
1812: The Invasion of Canada,555370,Strategy
1849,290970,Indie Simulation Strategy
1849: Nevada Silver,320900,Indie Simulation Strategy
1917 - The Alien Invasion - Soundtrack OST,489950,Action Adventure Casual Indie Strategy
1917 - The Alien Invasion DX,470060,Action Indie
1931: Scheherazade at the Library of Pergamum,334850,Casual Indie RPG Simulation
1942: The Pacific Air War,347230,Simulation Strategy
1943 Megami Strike,440810,Action Casual Indie
1953 - KGB Unleashed,248490,Adventure
1953: NATO vs Warsaw Pact,325470,Strategy Early Access
1954 Alcatraz,255280,Adventure Indie
1979 Invasion Earth,575880,Action Adventure Casual Indie Strategy
1979 Revolution: Black Friday,388320,Adventure Indie
